優先,類別,項目,影響列或引用,狀態,原因,建議,證據位置
P1,player,费尔·尼尼奥,3,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_Golden_Boot:14; Ligue1_Golden_Boot:22; Ligue1_Golden_Boot:26
P1,player,瓦伦丁·卡波尼,2,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Golden_Shoe:8; Serie_A_Capocannoniere:8
P1,player,伊莱耶·瓦希,5,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:23; Bundesliga_Torjagerkanone:5; Bundesliga_Torjagerkanone:13; Bundesliga_Torjagerkanone:24; Bundesliga_Torjagerkanone:28
P1,player,尼科,5,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_UNFP_Best_XI:29; Ligue1_UNFP_Best_XI:40; Ligue1_UNFP_Best_XI:51; Ligue1_UNFP_Best_XI:62; Ligue1_UNFP_MVP:5
P1,player,尼科洛·巴雷拉,5,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:53; Serie_A_Team_of_Year:63; Serie_A_Team_of_Year:85; Serie_A_Team_of_Year:118; Serie_A_MVP_Player:12
P1,player,拉斐尔·莱昂,4,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:44; Serie_A_Team_of_Year:66; Serie_A_Team_of_Year:121; Serie_A_MVP_Player:5
P1,player,拉菲乌·杜罗辛米,4,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:78; Bundesliga_Torjagerkanone:12; Bundesliga_Torjagerkanone:18; Bundesliga_Torjagerkanone:20
P1,player,若纳桑·大卫,4,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Golden_Shoe:12; Ligue1_UNFP_Best_XI:45; Ligue1_Golden_Boot:11; Ligue1_Golden_Boot:21
P1,player,里卡多·佩皮,4,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Golden_Shoe:13; Bundesliga_Elf_des_Jahres:45; Bundesliga_Torjagerkanone:11; Bundesliga_Torjagerkanone:15
P1,player,Yan Diomande,3,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:130; Bundesliga_Elf_des_Jahres:9; Bundesliga_VDV_Player:2
P1,player,埃尔林·哈兰德,3,既有別名可核對,個人頁尚未計入得獎紀錄,逐列核對原名、期間與俱樂部後，由主檔採用既有 ID；網站尚未因此增加得獎。,Premier_League_Golden_Boot:36; PL_PFA_Team_of_Year:133; UCL_Golden_Boot:15
P1,player,艾萨克·罗梅罗,3,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Golden_Shoe:16; Bundesliga_Elf_des_Jahres:56; Bundesliga_Torjagerkanone:14
P1,player,菲利普·蒂茨,3,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:111; Bundesliga_Torjagerkanone:29; Bundesliga_Torjagerkanone:34
P1,player,马科斯·莱昂纳多,3,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Premier_League_Golden_Boot:11; Premier_League_Golden_Boot:16; PL_PFA_Team_of_Year:44
P1,player,乔丹·佩罗特,2,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:133; Serie_A_Capocannoniere:35
P1,player,亚历杭德罗·加尔纳楚,2,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,PL_PFA_Young_POTY:9; PL_PFA_Team_of_Year:18
P1,player,克里斯琴·博里斯,2,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_MVP_Young:7; Serie_A_Capocannoniere:7
P1,player,斯捷潘·赫里什丘克,2,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:128; Serie_A_MVP_Young:13
P1,player,普雷斯拉夫·伯洛科夫,2,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_Golden_Boot:16; Ligue1_Golden_Boot:20
P1,player,梅森·格林伍德,2,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_UNFP_Best_XI:76; Ligue1_UNFP_MVP:8
P1,player,维克托·格约克雷斯,2,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Premier_League_Golden_Boot:32; PL_PFA_Team_of_Year:121
P1,player,维托尔·罗克,2,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Premier_League_Golden_Boot:23; PL_PFA_Team_of_Year:88
P1,player,范德森,2,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:102; Serie_A_MVP_Young:11
P1,player,莱安德罗·特罗萨尔德,2,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:99; Serie_A_MVP_Player:10
P1,player,蒂埃诺·巴里,2,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:67; Bundesliga_Torjagerkanone:17
P1,player,诺亚·朗,2,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:109; Serie_A_MVP_Player:11
P1,player,阿代莫拉·卢克曼,2,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:87; Serie_A_MVP_Player:9
P1,player,阿延达·西舒巴,2,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_Golden_Boot:35; Ligue1_Golden_Boot:3
P1,player,马泰伊·科瓦,2,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,LaLiga_Team_Season_Raw:71; LaLiga_Awards_RAW:12
P1,player,乔尔杰·科瓦切维奇,1,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_MVP_Young:4
P1,player,卢姆·查乌奈,1,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_VDV_Newcomer:23
P1,player,奥斯卡·莫雷诺,1,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_VDV_Newcomer:5
P1,player,奥马里·哈钦森,1,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,PL_PFA_Young_POTY:10
P1,player,弗拉基米尔·苏希,1,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_VDV_Newcomer:34
P1,player,弗朗奇斯科·孔塞桑,1,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_VDV_Newcomer:28
P1,player,本·多克,1,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,PL_PFA_Young_POTY:8
P1,player,柯尼·德温特,1,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_MVP_Young:12
P1,player,沙奎尔·范·佩西,1,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Torjagerkanone:8
P1,player,法坤多·马尔多纳多,1,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_VDV_Newcomer:11
P1,player,法比奥·比埃拉,1,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_VDV_Newcomer:31
P1,player,简菲力浦·克拉索,1,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_Golden_Boot:29
P1,player,若昂·费尔南德斯,1,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_VDV_Newcomer:8
P1,player,豪尔赫·博霍盖斯,1,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_MVP_Young:2
P1,player,贾萨洛·萨门托,1,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_MVP_Young:3
P1,player,阿克塞尔·卡永博,1,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_VDV_Newcomer:17
P1,player,阿尔弗雷德·罗巴斯特,1,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_VDV_Newcomer:2
P1,player,阿玛拉·迪乌夫,1,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_MVP_Young:6
P1,player,马丁纳·戈约吉伊夫,1,既有別名可核對,個人頁尚未計入得獎紀錄,逐列核對原名、期間與俱樂部後，由主檔採用既有 ID；網站尚未因此增加得獎。,PL_PFA_Young_POTY:13
P1,player,马特斯·汉森,1,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_VDV_Newcomer:25
P1,mapping,Barcelona_Season_Leaders,11,網站已拒用，主檔待修,舊列號對照的姓名／期間與來源列不符,以來源列現有姓名及期間重建對照，不能只移動列號；網站已避免使用不符的舊 ID。,Barcelona_Season_Leaders:35; Barcelona_Season_Leaders:36; Barcelona_Season_Leaders:37; Barcelona_Season_Leaders:39; Barcelona_Season_Leaders:40; Barcelona_Season_Leaders:41; Barcelona_Season_Leaders:42; Barcelona_Season_Leaders:43; Barcelona_Season_Leaders:44; Barcelona_Season_Leaders:45; Barcelona_Season_Leaders:59
P1,player,威廉·帕库,10,需新增主檔證據,影響至少五列獎項,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_UNFP_Best_XI:126; Ligue1_UNFP_Best_XI:27; Ligue1_UNFP_Best_XI:38; Ligue1_UNFP_Best_XI:49; Ligue1_UNFP_Best_XI:60; Ligue1_UNFP_Best_XI:70; Ligue1_UNFP_Best_XI:81; Ligue1_UNFP_Best_XI:93; Ligue1_UNFP_Best_XI:104; Ligue1_UNFP_Best_XI:115
P1,player,Kim Min-Jae,7,既有別名可核對,影響至少五列獎項,逐列核對原名、期間與俱樂部後，由主檔採用既有 ID；網站尚未因此增加得獎。,Bundesliga_Elf_des_Jahres:49; Bundesliga_Elf_des_Jahres:60; Bundesliga_Elf_des_Jahres:71; Bundesliga_Elf_des_Jahres:81; Bundesliga_Elf_des_Jahres:92; Bundesliga_Elf_des_Jahres:103; Bundesliga_Elf_des_Jahres:115
P1,player,达约特·乌帕梅克诺,7,需新增主檔證據,影響至少五列獎項,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:16; Bundesliga_Elf_des_Jahres:59; Bundesliga_Elf_des_Jahres:70; Bundesliga_Elf_des_Jahres:82; Bundesliga_Elf_des_Jahres:93; Bundesliga_Elf_des_Jahres:104; Bundesliga_Elf_des_Jahres:114
P1,mapping,PL_PFA_Team_of_Year,6,網站已拒用，主檔待修,舊列號對照的姓名／期間與來源列不符,以來源列現有姓名及期間重建對照，不能只移動列號；網站已避免使用不符的舊 ID。,PL_PFA_Team_of_Year:112; PL_PFA_Team_of_Year:114; PL_PFA_Team_of_Year:117; PL_PFA_Team_of_Year:119; PL_PFA_Team_of_Year:120; PL_PFA_Team_of_Year:122
P1,player,穆罕默德·库杜斯,6,需新增主檔證據,影響至少五列獎項,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_UNFP_Best_XI:43; Ligue1_UNFP_Best_XI:63; Ligue1_Golden_Boot:13; Ligue1_Golden_Boot:19; Ligue1_Golden_Boot:24; Ligue1_Golden_Boot:28
P1,player,马特乌斯,6,需新增主檔證據,影響至少五列獎項,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,PL_PFA_Team_of_Year:58; PL_PFA_Team_of_Year:69; PL_PFA_Team_of_Year:80; PL_PFA_Team_of_Year:91; PL_PFA_Team_of_Year:102; PL_PFA_Team_of_Year:113
P1,mapping,Barcelona_LaLiga_Best_XI,5,網站已拒用，主檔待修,舊列號對照的姓名／期間與來源列不符,以來源列現有姓名及期間重建對照，不能只移動列號；網站已避免使用不符的舊 ID。,Barcelona_LaLiga_Best_XI:75; Barcelona_LaLiga_Best_XI:86; Barcelona_LaLiga_Best_XI:96; Barcelona_LaLiga_Best_XI:108; Barcelona_LaLiga_Best_XI:117
P1,mapping,Ligue1_UNFP_Best_XI,5,網站已拒用，主檔待修,舊列號對照的姓名／期間與來源列不符,以來源列現有姓名及期間重建對照，不能只移動列號；網站已避免使用不符的舊 ID。,Ligue1_UNFP_Best_XI:117; Ligue1_UNFP_Best_XI:118; Ligue1_UNFP_Best_XI:119; Ligue1_UNFP_Best_XI:120; Ligue1_UNFP_Best_XI:121
P1,player,亚历山德罗·巴斯托尼,5,需新增主檔證據,影響至少五列獎項,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:38; Serie_A_Team_of_Year:49; Serie_A_Team_of_Year:60; Serie_A_Team_of_Year:81; Serie_A_Team_of_Year:114
P1,player,努诺·门德斯,5,需新增主檔證據,影響至少五列獎項,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_UNFP_Best_XI:127; Ligue1_UNFP_Best_XI:17; Ligue1_UNFP_Best_XI:28; Ligue1_UNFP_Best_XI:39; Ligue1_UNFP_Best_XI:72
P1,player,杨科托,5,需新增主檔證據,影響至少五列獎項,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:3; Bundesliga_Elf_des_Jahres:25; Bundesliga_Elf_des_Jahres:58; Bundesliga_Elf_des_Jahres:113; Bundesliga_VDV_Newcomer:32
P1,player,费代里科·迪马科,5,需新增主檔證據,影響至少五列獎項,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:61; Serie_A_Team_of_Year:72; Serie_A_Team_of_Year:82; Serie_A_Team_of_Year:105; Serie_A_Team_of_Year:116
P1,player,路易斯·迪亚斯,5,需新增主檔證據,影響至少五列獎項,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:66; Bundesliga_Elf_des_Jahres:77; Bundesliga_Elf_des_Jahres:88; Bundesliga_Elf_des_Jahres:110; Bundesliga_Elf_des_Jahres:121
P1,player,迪恩·豪耶森,5,需新增主檔證據,影響至少五列獎項,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_UNFP_Best_XI:125; Ligue1_UNFP_Best_XI:4; Ligue1_UNFP_Best_XI:16; Ligue1_UNFP_Best_XI:26; Ligue1_UNFP_Best_XI:59
P1,mapping,Bundesliga_Elf_des_Jahres,2,網站已拒用，主檔待修,舊列號對照的姓名／期間與來源列不符,以來源列現有姓名及期間重建對照，不能只移動列號；網站已避免使用不符的舊 ID。,Bundesliga_Elf_des_Jahres:116; Bundesliga_Elf_des_Jahres:119
P1,mapping,Serie_A_Capocannoniere,2,網站已拒用，主檔待修,舊列號對照的姓名／期間與來源列不符,以來源列現有姓名及期間重建對照，不能只移動列號；網站已避免使用不符的舊 ID。,Serie_A_Capocannoniere:32; Serie_A_Capocannoniere:33
P1,mapping,Serie_A_Team_of_Year,2,網站已拒用，主檔待修,舊列號對照的姓名／期間與來源列不符,以來源列現有姓名及期間重建對照，不能只移動列號；網站已避免使用不符的舊 ID。,Serie_A_Team_of_Year:112; Serie_A_Team_of_Year:122
P1,player,佩德罗·坎波斯,2,既有別名可核對,已有唯一受控別名線索,逐列核對原名、期間與俱樂部後，由主檔採用既有 ID；網站尚未因此增加得獎。,Barcelona_LaLiga_Best_XI:131; Pichichi_Award:16
P1,mapping,Bundesliga_VDV_Newcomer,1,網站已拒用，主檔待修,舊列號對照的姓名／期間與來源列不符,以來源列現有姓名及期間重建對照，不能只移動列號；網站已避免使用不符的舊 ID。,Bundesliga_VDV_Newcomer:33
P1,mapping,Golden_Shoe,1,網站已拒用，主檔待修,舊列號對照的姓名／期間與來源列不符,以來源列現有姓名及期間重建對照，不能只移動列號；網站已避免使用不符的舊 ID。,Golden_Shoe:32
P1,mapping,Ligue1_UNFP_MVP,1,網站已拒用，主檔待修,舊列號對照的姓名／期間與來源列不符,以來源列現有姓名及期間重建對照，不能只移動列號；網站已避免使用不符的舊 ID。,Ligue1_UNFP_MVP:12
P1,mapping,PL_PFA_Young_POTY,1,網站已拒用，主檔待修,舊列號對照的姓名／期間與來源列不符,以來源列現有姓名及期間重建對照，不能只移動列號；網站已避免使用不符的舊 ID。,PL_PFA_Young_POTY:12
P1,mapping,Premier_League_PFA_POTY,1,網站已拒用，主檔待修,舊列號對照的姓名／期間與來源列不符,以來源列現有姓名及期間重建對照，不能只移動列號；網站已避免使用不符的舊 ID。,Premier_League_PFA_POTY:12
P1,player,伊利亚·扎巴尔尼,1,既有別名可核對,已有唯一受控別名線索,逐列核對原名、期間與俱樂部後，由主檔採用既有 ID；網站尚未因此增加得獎。,PL_PFA_Team_of_Year:126
P1,player,布卡约·萨卡,1,既有別名可核對,已有唯一受控別名線索,逐列核對原名、期間與俱樂部後，由主檔採用既有 ID；網站尚未因此增加得獎。,PL_PFA_Team_of_Year:131
P1,player,若奥·卡瓦略·德·苏萨,1,既有別名可核對,已有唯一受控別名線索,逐列核對原名、期間與俱樂部後，由主檔採用既有 ID；網站尚未因此增加得獎。,Bundesliga_VDV_Newcomer:15
P1,player,萨米赫·克利奇索伊,1,既有別名可核對,已有唯一受控別名線索,逐列核對原名、期間與俱樂部後，由主檔採用既有 ID；網站尚未因此增加得獎。,Barcelona_LaLiga_Best_XI:130
P1,player,谢赫·桑内赫,1,既有別名可核對,已有唯一受控別名線索,逐列核對原名、期間與俱樂部後，由主檔採用既有 ID；網站尚未因此增加得獎。,Barcelona_LaLiga_Best_XI:122
P1,player,里科·刘易斯,1,既有別名可核對,已有唯一受控別名線索,逐列核對原名、期間與俱樂部後，由主檔採用既有 ID；網站尚未因此增加得獎。,PL_PFA_Team_of_Year:124
P2,source,賽事名稱尚未受控,2485,待核對,61 個名稱、2485 次參照待核對；11 組是相似寫法候選，不當成已證實同一賽事。新增賽事或別名需主檔建立正式 ID；網站保留原文與候選。,核對賽事與層級,
P2,source,俱樂部參照尚無唯一受控身分,993,待核對,81 個原始字串、993 次參照仍需核對，包含未建檔、截斷或多個 ID 的情況；相似候選不是已確認身分。,查看逐項候選與出處,
P2,club,法蘭克福,57,需主檔指定主 ID,受控俱樂部身分可能重複,核對各 ID 的來源、球隊級別及歷年身份；確認主 ID 與轉向關係後才遷移引用。,Club_Dim:49; Club_Dim:195
P2,club,摩納哥,31,需主檔指定主 ID,受控俱樂部身分可能重複,核對各 ID 的來源、球隊級別及歷年身份；確認主 ID 與轉向關係後才遷移引用。,Club_Dim:42; Club_Dim:169
P2,club,裏爾,27,需主檔指定主 ID,受控俱樂部身分可能重複,核對各 ID 的來源、球隊級別及歷年身份；確認主 ID 與轉向關係後才遷移引用。,Club_Dim:72; Club_Dim:115
P2,club,波鴻,20,需主檔指定主 ID,受控俱樂部身分可能重複,核對各 ID 的來源、球隊級別及歷年身份；確認主 ID 與轉向關係後才遷移引用。,Club_Dim:205; Club_Dim:246
P2,club,艾斯特拉阿馬多拉,6,需主檔指定主 ID,受控俱樂部身分可能重複,核對各 ID 的來源、球隊級別及歷年身份；確認主 ID 與轉向關係後才遷移引用。,Club_Dim:256; Club_Dim:297
P2,club,馬賽,5,需主檔指定主 ID,受控俱樂部身分可能重複,核對各 ID 的來源、球隊級別及歷年身份；確認主 ID 與轉向關係後才遷移引用。,Club_Dim:80; Club_Dim:270
P2,player,乔吉·马马达什维利,4,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:13; Bundesliga_Elf_des_Jahres:35; Bundesliga_Elf_des_Jahres:68; Bundesliga_Elf_des_Jahres:79
P2,player,伯纳多·席尔瓦,4,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,PL_PFA_Team_of_Year:86; PL_PFA_Team_of_Year:96; PL_PFA_Team_of_Year:108; PL_PFA_Team_of_Year:118
P2,player,布拉德利·巴科拉,4,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_UNFP_Best_XI:56; Ligue1_UNFP_Best_XI:89; Ligue1_Golden_Boot:15; Ligue1_Golden_Boot:25
P2,player,托恩·克普迈纳斯,4,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:75; Serie_A_Team_of_Year:84; Serie_A_Team_of_Year:97; Serie_A_Team_of_Year:107
P2,player,米卡·马尔莫尔,4,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:4; Bundesliga_Elf_des_Jahres:26; Bundesliga_Elf_des_Jahres:37; Bundesliga_Elf_des_Jahres:50
P2,player,阿什拉夫·哈基米,4,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_UNFP_Best_XI:58; Ligue1_UNFP_Best_XI:80; Ligue1_UNFP_Best_XI:91; Ligue1_UNFP_Best_XI:102
P2,player,马尔基尼奥斯,4,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_UNFP_Best_XI:71; Ligue1_UNFP_Best_XI:92; Ligue1_UNFP_Best_XI:103; Ligue1_UNFP_Best_XI:114
P2,player,伊利亚·卡普里莱,3,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Bundesliga_Elf_des_Jahres:2; Bundesliga_Elf_des_Jahres:24; Bundesliga_Elf_des_Jahres:46
P2,player,伊布拉西马·科纳特,3,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,PL_PFA_Team_of_Year:38; PL_PFA_Team_of_Year:82; PL_PFA_Team_of_Year:93
P2,player,卢卡斯·埃尔南德斯-卡斯坎特,3,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_UNFP_Best_XI:94; Ligue1_UNFP_Best_XI:105; Ligue1_UNFP_Best_XI:116
P2,player,哈康·阿尔纳·拉拉尔松,3,需新增主檔證據,未唯一綁定的個人榮譽,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Ligue1_UNFP_Best_XI:8; Ligue1_UNFP_Best_XI:19; Ligue1_UNFP_Best_XI:53
